4141,97868,15400
38526,6258,40705
95403,20358,88763
88178,57220,74486
92019,13976,10908
25939,99958,87369
67582,42217,66282
30819,30549,55064
282,20345,73861
17391,32079,95123
27146,76662,90355
22846,36338,73946
52213,95227,96650
46401,19867,68039
97,7038,55422
77645,18971,50046
58796,53764,67929
22710,8557,49691
80161,70043,37464
47106,72176,88734
78085,84666,2155
79944,66036,56483
88794,12245,14037
28373,11824,56582
86783,3097,67886
34103,90040,8912
82454,88276,95730
93397,51489,7390
24198,33130,97600
48831,94201,52099
11671,57970,87266
12483,19787,1748
95386,61339,69772
8780,77025,98728
94715,96801,16160
65719,51110,86281
627,25575,85361
22036,30236,45261
88540,17518,60414
46243,9744,78205
45153,28718,12979
69191,82878,28887
51216,49846,92606
18213,59307,76469
65304,21919,20699
57402,89380,22836
72073,58463,40154
29491,76607,88213
34368,53633,16931
19809,73332,43751
50090,20666,56138
15301,91021,93329
19230,64942,80712
75459,15043,40963
78301,87463,52801
3050,40885,50667
94029,55552,14271
63934,86912,95367
16089,23174,83137
20603,8684,86105
61820,93260,12337
28060,74072,8685
24460,46521,62880
68328,82361,59632
33300,79225,26422
3314,82427,63300
97627,73072,14792
79139,94378,29493
92296,66200,44565
4023,6851,71469
41703,6564,34523
17676,90288,64971
81348,3146,92719
74483,69529,70847
45620,21883,28298
59012,50092,83673
43460,10654,51336
2319,13820,13432
26817,81592,49306
5354,27377,37135
95390,83051,26539
6355,60092,6744
54093,91881,64676
4735,30595,52910
6621,37573,99692
1110,65293,11209
90548,23506,57131
4766,68630,79115
50549,53600,30897
73486,31744,55277
21991,43948,4468
24867,38243,15885
50630,47753,12805
58087,48373,71005
50435,53875,71637
47641,86746,58772
94836,37958,61984
68810,20418,65981
21817,23742,90961
91321,30539,3399
54121,52866,19374
94021,13802,63219
3297,44525,28327
25361,13278,54397
42113,26121,81905
28267,56111,56676
33941,54332,30702
66935,9764,60863
58028,78482,49696
37364,56313,36347
96577,73706,2260
51464,9190,35364
87280,78167,91618
7866,25306,40566
25386,75576,53119
1371,79323,54220
5327,90865,74296
42959,54756,43515
98724,58976,32606
37585,29697,38123
61302,88443,81639
41137,84605,99499
18834,72021,85051
43386,63650,58474
66674,98826,63571
42574,12819,51058
46579,1576,23737
22669,66388,45510
98785,10829,81546
91764,63126,91167
11337,81990,91701
9742,97597,7982
54238,25768,76284
38938,77579,18917
22518,70182,86768
17309,94720,34507
67943,93792,29631
62354,76070,78169
62866,40763,53277
27710,97207,86942
1496,25253,61016
18383,71439,47470
85604,4328,51585
81356,46792,24072
11650,6813,21279
25880,28609,1285
82370,80406,86090
29167,26577,97237
34155,26066,77801
29926,53153,74533
49516,29621,17359
43715,68135,30547
69126,57070,28713
11303,17846,88204
93389,87788,78334
19673,75235,58823
76562,39666,17240
60741,25731,79823
65311,48081,19433
98308,2868,23403
90452,96945,15715
99128,41110,92142
62540,10711,94052
75718,57059,75332
29107,44308,11238
29514,32897,12062
29338,97466,72195
69681,84089,68696
20674,8916,98749
66422,91186,92367
22348,99836,3976
37478,35173,34349
15098,75826,93298
19998,31619,96226
95634,63420,1172
35562,85788,51649
16662,24829,30660
63803,63339,60693
14915,81219,28982
62957,67640,8023
30464,5154,76961
87404,95870,5066
28149,77569,3048
21905,18805,83104
68237,91338,4634
9442,15085,4246
24791,70759,30835
92309,55950,75224
36359,67151,78459
89840,96341,90060
80949,43413,69710
48564,26531,17391
25185,32440,94634
46847,7675,35636
58207,67753,55669
13366,24147,14109
26022,12273,62425
44267,99891,81618
695,56062,41244
83888,83571,63826
34463,18097,96689
61472,16,28361
71425,43277,86890
46504,819,54172
98898,64834,94506
40827,59982,16944
32332,47381,34945
61210,79666,84687
15632,42156,71388
53829,37619,10478
1087,23146,26958
32560,14639,13110
72535,16688,76117
377,48461,35900
74346,96967,57708
79053,71830,23644
57442,12790,67544
79498,46346,70936
80970,9101,22335
95559,48102,1138
46766,59421,8870
80626,9199,84539
19024,12824,69609
708,23956,48966
46280,33287,24914
59880,15305,76761
63616,16871,28409
62265,65260,53919
40599,9428,54490
40066,57882,19045
88031,85465,71974
99659,1652,23535
86613,72417,20072
50026,65925,91571
24690,47967,45463
87585,65850,95959
51275,53665,70361
2161,21030,80156
59368,53802,27149
2932,11253,43768
67577,87736,85355
73547,31667,71408
47824,22958,22385
29669,95386,78959
41099,29351,67229
81421,26462,47839
32105,46090,6946
34350,76468,82591
39403,34429,40503
26975,89291,71506
19705,38030,77101
56152,89039,68859
98801,86237,10025
69658,94094,78706
45346,24331,16835
88306,54390,87807
78523,80058,51364
8391,23421,23352
27272,71064,26978
16675,21014,34733
26215,66508,53158
5424,18982,72896
39778,55437,50050
91619,91110,77509
16384,80430,80138
35769,16350,9098
75528,19426,71667
42255,59317,18942
14390,45670,56463
71272,40973,33263
56570,74453,42307
60039,115,61442
62573,78545,76073
78016,74731,49919
55527,4508,79623
29488,88447,41111
96068,7960,67065
81870,57177,67687
9056,93844,23699
26744,13897,1255
67806,67198,74417
26055,33738,36343
87489,27760,97558
36742,59460,8502
93519,81845,76059
41360,54611,45226
37770,48516,99582
12824,10908,3576
46609,6304,24617
82602,17687,61869
43793,9521,29548
60680,58261,72269
22294,35152,66722
60570,20963,48498
68870,48767,36914
24351,55979,17650
13273,8356,56374
47412,83869,76396
20747,85439,19308
74395,48670,82834
62287,25086,63332
33760,31380,68365
39804,42754,86488
96994,12780,83993
77684,99689,14133
19783,33471,52985
76587,75586,15387
93312,46908,58263
67789,16187,66265
80524,8453,62445
34338,66316,34900
67500,91633,52127
78,31332,46916
32024,39931,60452
86045,78577,4538
91764,18626,87065
57808,18701,20135
61327,11319,46328
81635,81168,52831
31492,85216,53843
15607,51185,31164
66349,21021,55072
79130,77100,63507
21748,58445,41216
6968,61364,7109
74856,27821,5648
21053,72467,88370
49119,18147,83880
10779,59195,29322
93293,66141,47329
33408,72213,3790
85852,15216,76457
45646,95852,87332
41929,21131,8244
15675,93679,45584
83994,94431,2009
64389,48848,46374
2285,24963,64237
75127,91582,67585
88745,63757,45123
75805,35332,22570
74197,19059,58654
13333,10411,89432
6674,68984,29649
55539,91989,40413
74399,67572,14149
14920,41578,76246
35779,95873,41694
16046,56600,17663
16161,30452,72022
3923,5545,28401
61586,96114,70115
90612,49429,71510
73579,39630,69289
98604,94679,34991
63467,9729,43237
5969,44236,97374
36281,28658,51266
6364,65524,45802
85916,18909,34365
9791,87162,35788
5761,58816,11429
92787,22142,59405
74517,17434,95617
25780,25975,3426
27000,56968,29957
37329,72014,79751
80300,58839,3884
1771,47275,28533
15348,30965,38132
48475,97185,10520
9979,65768,32027
22330,41195,48207
54473,85281,93829
67139,74466,90174
64574,44720,8903
82754,63719,11572
55411,5809,989
93834,6170,5757
22827,74438,92906
77413,98957,97693
76644,80900,16245
55800,17226,98964
6920,84297,43581
82620,26124,25826
81700,43087,43004
99513,14325,13020
20882,40125,45699
8169,18484,76487
22973,49463,37127
84126,39864,46531
91848,30282,80166
27383,79683,90072
81254,20099,19996
36612,38535,34502
22479,32804,79184
52762,3207,92697
761,54429,81030
51259,61304,74497
91382,25548,81298
12589,5893,61414
53881,81331,30434
8396,82527,45469
15662,23394,70255
67345,79779,69543
61416,35385,47979
588,97073,20177
24564,29525,43745
27258,57502,1792
82298,89513,71368
30888,28787,91028
42355,35402,44076
25382,16588,20581
61200,44666,93700
33149,29431,37794
12299,21593,98120
23131,88564,66751
78496,63920,64032
28386,41659,41084
37757,10816,51350
26625,27776,12653
51461,4522,3322
65844,26077,34369
20992,56981,21203
66100,16952,11024
85550,7292,74556
64263,28153,53381
37706,52064,54646
96684,49176,38214
85137,83507,98401
49901,54337,36627
92239,96447,80565
69781,56553,15039
72093,3792,16665
34337,26678,33056
35357,91829,9005
64226,41981,5196
48748,54085,12984
37173,53206,54409
49685,20374,38704
41661,94298,18921
46489,77933,69878
